word,definition,pos
chakto,tomato,(n)
chalokloha,turkey,(n)
chalokloha okchamali,peacock,(n)
chalukki,cherokee,(n)
chalukloa nukni,gobbler,(n)
chalukloa taktaha,gobble,(v)
chamo,i,leg
chanahut folota,gyrate,(v)
chanukbi,crook,(n)
chanukbichi,hook,(v)
che,promise,(n)
che ahoba,prospect,(n)
che beika tok,verge,(n)
che bekasi,nick,(n)
che pulla,uncertain,(adj)
cheki,early,(adj)
cheki mushush,ago,(adv)
chekosash,recent,(adj)
chekosi,immediate,(adj)
cheleli,crumble,(v)
cheleta,cope,(v)
cheleta mehli,overstrain,(v)
cheletut toksuli,steady,(adj)
chelhli,mumps,(n)
chelita,earnest,(adj)
chelta,spite,(n)
chenofi,tweak,(v)
chenoko abeka,pneumonia,(n)
chepota,child,(n)
chepota apisa chi,governess,(n)
chepota apisachi,nursemaid,(n)
chepota habena,adopt,(v)
chepota ikhapnaklo,brat,(n)
chepota im alikchi,pediatrics,(n)
chepota isht aiyopi,child,(n)
chepota iskunno,tyke,(n)
chepota loma,illegitimate,(adj)
chepota nukni,lad,(n)
chepota nukni holisso kunchi,newsboy,(n)
chepusli,spark,(n)
cheseia,dapple,(adj)
cheshuk,dew,(n)
chetok,expect,(v)
chetok chesha,reckon,(v)
chetolhuk,swallow,(n)
cheya,thou,(pro)
cheya ma,thee,(pro)
cheyamichi,trick,(n)
chha,higher,(adj)
chhli,chop,(v)
chho,reason,(n)
chholo,bluebird,(n)
chihowa,God,(n)
chihowa holitopli,piety,(n)
chihowa ik ithano,ungodly,(adj)
chihowa ikyimmo,atheist,(n)
chihowa ikyimmo,heathen,(n)
chihowa ithana bunna,theology,(n)
Chihowa kalukshichi,blaspheme,(v)
Chihowa nan atali,nature,(n)
Chihowa nan ulhpisa yimmi,christianity,(n)
chihowayimmi,theism,(n)
chikasha,chickasaw,(n)
chikbichi,mound,(v)
chikchiki,spot,(n)
chikosi,anon,(adv)
chilhkbi,copperhead,(n)
chiloha,grist,(n)
chilsa,chipmunk,(n)
Chilusalim,Jerusalem,(n)
chim aiyukpali,congratulate,(v)
chimiklichi,pang,(n)
chimmi,your,(adj)
chinimpoha,bit,(n)
chinofi,pinch,(v)
chisha,oak,(n)
chisha atoba,oaken,(adj)
chishko,arbor,(n)
chiskachi,tick,(v)
chiskilik,blackjack,(n)
Chisus,Jesus,(n)
Chisus Klaist,Jesus Christ,(n)
Chitokaka,Christ,(n)
chki,martin,(n)
chkush,heart,(n)
chkush hotopa,heartache,(n)
chkush kobafa,heartbreak,(n)
chkush kullo,hard-hearted,(n)
chli,hack,(v)
chna,gaunt,(adj)
chnti,frog,(n)
chntoshi,frog,(n)
choboachi,gurgle,(v)
chofata,clean,(adj)
chofuk aiyulhfoha,spur,(n)
chofuk halopa,awl,(n)
chofuk isht impa,fork,(n)
chofuk oshi,pin,(n)
chofukwashala,tine,(n)
chofutli,cleanse,(v)
chokamalachi,spun,(v)
chokamola,swirl,(v)
chokamolachi,spin,(v)
chokfolochi,stultify,(v)
chokfolowa,stagger,(v)
chokushkomo apisachi,referee,(n)
chokushpa,scandal,(n)
chokushpachi,newsmonger,(n)
cholhachi,slit,(v)
cholhafa,riven,(v)
cholhkun,spider,(n)
choli,i,mark
choluk,hole,(n)
choluk ikbi,punch,(v)
choluk iskunosi,slot,(n)
choluk okshita,plug,(v)
chomak bohta,snuff,(n)
chomak lhetili,nicotine,(n)
chomak shuna,cigar,(n)
chomak shunna,stogy,(n)
chomak shuti,pipe,(n)
chomi,such,(adj)
chomuk,tobacco,(n)
chomuk shuti,tobacco pipe,(n)
chonuk abeka,pulmonary disease,(n)
chonukubi,pleurisy,(n)
chosti,tuesday,(n)
chotilhak,chimney swallow,(n)
chowa,i,tattoo
cht akachi,cut down,(v)
Chu,Jew,(n)
Chu keyu,gentile,(adj)
Chuetouso,shekel,(n)
chufa,once,(adv)
chufichi,deliverance,(n)
chuhla,cedar,(n)
chuka,home,(n)
chuka achufa,family,(n)
chuka achufa,i,espouse
chuka chufa holhchifo,patronymic,(adj)
chuka ikbi,carpenter,(n)
chuka iksho,i,vagrant
chuka iskuno,cabin,(n)
chuka lokoli,community,(n)
chuka; aiiasha,abode,(n)
chukala,company,(n)
chukala,i,visit
chukalaha,guest,(n)
chukali,nine,(adj)
chukalumbolo,whippoorwill,(n)
chukana,fly,(n)
chukana acheli,fly-blow,(n)
chukapta,i,neighbor
chukbakali,denude,(v)
chukbukali,nude,(adj)
chukcho,maple,(n)
chukcho shokola okchi,maple syrup,(n)
chukchuki,scallop,(n)
chukfchuka,fold,(n)
chukfi,bunny,(n)
chukfi apisachi,shepherd,(n)
chukfi heshi,fleece,(n)
chukfi heshi tunna,flannel,(n)
chukfi hishi,fleece,(n)
chukfi nukni,ram,(n)
chukfi tek,ewe,(n)
chukfi yah,bleat,(n)
chukfishto,rabbit,(n)
chukfiyummi,hiccup,(n)
chukfoloha,boozy,(adj)
chukfolowa,vertigo,(n)
chukfosh takali,rabbit,(n)
chukfoshi,lamb,(n)
chukilissa,lull,(v)
chukilissa; likinta,calmness,(n)
chukilissa; sumata,silent,(adj)
chukissa,clammy,(adj)
chukiyali,drool,(v)
chuklheheli,"girn, (grin)",(v)
chuklhun ishto,tarantula,(n)
chukma,excellence,(n)
chukma ahoba,specious,(adj)
chukma atumpa,splendid,(adj)
chukma fehna,scrumptious,(adj)
chukma ikono,imperfect,(adj)
chukma im maiya,superb,(adj)
chukma imaiya,best,(adj)
chukma kutmma,usable,(adj)
chukmalichi,good,(v)
chukmalichosi,nicety,(n)
chukmalosit bohli,tap,(v)
chukmasi,beauty,(n)
chukmut ikpiso,glimpse,(n)
chukmut utta,behave,(v)
chukoa,aboard,(adv)
chukoshkomo,play,(v)
chukoshpa,gossip,(n)
chukoshpachi,gossiper,(n)
chukulhpoba,sheep,(n)
chukulhpoba nipi,mutton,(n)
chukushpa,hearsay,(n)
chukwa,admit,(v)
chula,fox,(n)
chula kwa,fox,(n)
Chulai,July,(n)
chulha losa,blackbird,(n)
chulhka,solitaire,(n)
chulhkun olali,cobweb,(n)
chulhuffi,slash,(v)
chuloshi,cub,(n)
chumak shoti,calumet,(n)
chumpa,buy,(v)
chumpa tok,bought,(v)
chumpoli,luscious,(adj)
chumpoli toba,nectar,(n)
chumpolichi,zestfully,(adv)
Chun,June,(n)
chuna,lean,(adj)
chuna,vehicle,(n)
chuna fala,haw,(n)
chuna isht toksuli,wheelbarrow,(n)
chuna ishto,truck,(n)
chuna oshi,buggy,(n)
chunafala losa,black haw,(n)
chunaha,wheel,(n)
chunaheyoli,spoke,(n)
chunali shepa,car,(n)
chuna-maleli,train,(n)
chuna-oshi,shay,(n)
chunapulhki,chariot,(n)
chunasha,moccasin,(n)
chunutli pulhki,stagecoach,(n)
chup-chup,woodpecker,(n)
chushwa,sinew,(n)
chuti,ewer,(n)
chuti,ewer,(n)
fabussa,slender,(adj)
fala,length,(adj)
fala ishto,raven,(n)
falamichi,i,avenge
falamut imna,reflect,(v)
falamut tani nitak,easter,(n)
faleli,elongate,(v)
falha,oblong,(adj)
fali,wave,(v)
falukto,crotch,(n)
falumichit eshi,withdraw,(v)
falumisht ima,restitution,(v)
falumisht imma,restitution,(v)
falumma,return,(v)
falummi hatuk,eskimo,(n)
falummi issi,reindeer,(n)
falummi nan okch oka aiutta,seal,(n)
falummichi,repulse,(v)
falummichi,i,retribution
falummichi tok,returned,(v)
falummichit isht ula,bring back,(v)
falummichit pit kanchi,cast back,(v)
falummisht atobi,refund,(v)
falummisht helichi,reinstate,(v)
falummisht ishi,reclaim,(v)
falummishtwa,recall,(v)
fanulhchi,wing,(n)
fapa,swing,(v)
